"COMID","CAT_CONTACT","TOT_CONTACT","CAT_RECHG","TOT_RECHG","Site_ID"
23099678,251.28,150.43,12,271.03,"T02"
23099844,52,106.88,14,376.89,"T03"
23099884,42.88,93.43,14,159.36,"S82"
23100020,115.24,234.16,13,93.95,"S36"
23100328,77.99,142.78,14,57.28,"S32"
23100338,78.37,147.08,14.44,71.34,"S31"
23100398,96.13,177.33,35.08,70.36,"S30R"
23100404,139,185.83,59.36,81.58,"S63"
23100428,227.43,182.11,69.54,97.01,"S37"
23100434,201.95,128.03,84.42,116.23,"S39"
23105314,260,236.17,76.64,80.58,"S38"
24125037,41,84.93,14,322.01,"S50"
24125115,81.06,67.45,13.07,369.74,"S79"
24125193,69.19,43.33,14,415.97,"S67"
24125421,35.14,32.02,15,555,"S73"
24125567,73.51,19.38,22.18,781.81,"S28RE"
24125633,20.06,9.76,304.72,405.66,"S19E"
24125699,17.48,8.71,373.92,534.53,"S25"
24125729,15.09,16.47,346.11,529.33,"S19"
24125789,133.8,14.85,245.96,983.5,"S23"
24125811,17.5,8.45,400.46,1028.15,"S20R"
24125859,8,6.38,925.11,1135.17,"S24R"
24125873,8,6.13,964.14,1130.45,"S18R"
24125883,6,5.53,966.57,1079.66,"S13R"
24125945,6,6.56,1052.58,1217.4,"S14"
24125999,8,6.59,985,1222.4,"S17R"
24126041,8,7.42,986.21,1042.52,"S15"
24126061,8.41,11.29,417.66,1057.76,"S21R"
24126203,8.3,7.58,999.55,1049.15,"S83"
24126251,32.2,25.69,29.85,243.07,"S29R"
24126315,30,48.8,15,191,"S72"
24126327,42.04,48.78,20.76,194.99,"S71"
24126399,100.75,67.4,14,24.98,"S68"
24126427,74.78,60.21,15.42,35.48,"U20"
24126487,50,71.48,52.41,172.08,"W20"
24126509,111.55,69.96,132.26,218.04,"W10"
24126823,12.1,10.59,917.36,945.14,"S27R"
24131037,82,22.65,22,164.18,"S28R"
24131135,51.51,33.16,15,86.65,"S75"
24423233,87.39,31.84,42.57,639.2,"S51"
24423233,87.39,31.84,42.57,639.2,"S49R"
24423479,405.17,130.69,14,81.62,"S77"
24423479,405.17,130.69,14,81.62,"S56"
24423517,52.15,68.61,15.9,136.49,"S55"
24425579,430.75,23.22,15.22,638.42,"T05"
947030105,123.42,152.98,8,258.39,"T07"
947030170,69.81,18.82,86.27,399.66,"S26R"
