"COMID","Site_ID"
23099678,"T02"
23099844,"T03"
23099884,"S82"
23100020,"S36"
23100328,"S32"
23100338,"S31"
23100398,"S30R"
23100404,"S63"
23100428,"S37"
23100434,"S39"
23105314,"S38"
24125037,"S50"
24125115,"S79"
24125193,"S67"
24125421,"S73"
24125567,"S28RE"
24125633,"S19E"
24125699,"S25"
24125729,"S19"
24125789,"S23"
24125811,"S20R"
24125859,"S24R"
24125873,"S18R"
24125883,"S13R"
24125945,"S14"
24125999,"S17R"
24126041,"S15"
24126061,"S21R"
24126203,"S83"
24126251,"S29R"
24126315,"S72"
24126327,"S71"
24126399,"S68"
24126427,"U20"
24126487,"W20"
24126509,"W10"
24126823,"S27R"
24131037,"S28R"
24131135,"S75"
24423233,"S51"
24423233,"S49R"
24423479,"S77"
24423479,"S56"
24423517,"S55"
24425579,"T05"
947030105,"T07"
947030170,"S26R"
