Site_ID,COMID,Stream_order
S13R,24125883,4
S14,24125945,4
S15,24126041,2
S17R,24125999,3
S18R,24125873,5
S19,24125729,3
S19E,24125633,4
S20R,24125811,5
S21R,24126061,5
S23,24125789,6
S24R,24125859,5
S25,24125699,3
S26R,947030170,5
S27R,24126823,2
S28R,24131037,4
S28RE,24125567,6
S29R,24126251,4
S30R,23100398,4
S31,23100338,4
S32,23100328,5
S36,23100020,5
S37,23100428,3
S38,23105314,2
S39,23100434,2
S49R,24423233,5
S50,24125037,6
S51,24423233,5
S55,24423517,4
S56,24423479,4
S63,23100404,4
S67,24125193,6
S68,24126399,3
S71,24126327,4
S72,24126315,4
S73,24125421,6
S75,24131135,4
S77,24423479,4
S79,24125115,6
S82,23099884,4
S83,24126203,3
T02,23099678,7
T03,23099844,7
T05,24425579,6
T07,947030105,7
U20,24126427,3
W10,24126509,4
W20,24126487,4
